Agency,Service Description,Vision,FTE,Liz Categories,Liz Skills,Agency Category,Liz Countries,Liz Cities,Projects Won,Total Projects Won,SS Take,Category Specialism,Industry Experience,Briefs Received,Total Briefs Received,Pitch Rating,Agency Score,Female
Harrison,"Creating global brand experiences through distinctive spaces strategy, architecture, interior design and branding.","Creating global brand experiences through distinctive spaces strategy, architecture, interior design and branding.",97,Experience & Design,"Brand Design,Spatial Design","Spatial Design & Events,Brand.","UK,USA,Australia","London,Birmingham,Dallas,Melbourne",,0,Leaders in spatial design with a focus on major brand hospitality and dining venues,Spatial Design,"Retail,Hospitality,Travel,Leisure",,0,NaN,NaN,
Hatch Films CIC,The only not-for-profit production company in the U.K.,,1-9,Advertising/Brand/Creative,Video Production,"Advertising,Video Production",UK,London,,0,,"ATL Campaigns,Film.,Corporate Films,Short Content",,Product Vision Video,1,NaN,NaN,
Hedgehog Lab,"Digital products, mobile and web",To be the most respected digital product studio in the world ,80,"Tech & Development,Customer & Business Strategy,Experience & Design","Mobile App Development,Software Development,Web Development,Product Strategy,UX/UI Design",Web & Mobile Design,"UK,USA","Newcastle,Boston","Senior UI Designer,GI Retained Squad,DW retained design squad - 1st 2 weeks,DW Retained Squad",4,Ranked No 1 in the World by Clutch because they are amazing engineers!,"UX & UI,UX Research,Software Development,Tech Architecture","Financial Services,Insurance,Fintech,Energy,Retail,Telco,Utilities,Technology,Pensions","GI Retained Squad,Senior UI Designer,DW Retained Squad,UX/UI Retained Squads,DW retained design squad - 1st 2 weeks,Product Engineering ",6,8.0,NaN,
Hell Yeah!,Ideas that make brands matter,,10-19,Advertising/Brand/Creative,"Advertising,Creative Production",Video Production,UK,London,,0,,"Animation,Film.,Content ,Outdoor",,,0,NaN,NaN,checked
Heur,Ecommerce Growth ,We are brand and e-commerce growth,2,"Media/PR & Events,Advertising/Brand/Creative,Tech & Development","SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Advertising,Brand Strategy,Social Media (Strategy/Content/Management),eCommerce & Marketplacing",Ecommerce,UK,London,,0,C-suite E-commerce Strategy Consultancy,"E-Commerce Strategy,Amazon,Citrus Advertising","Retail,Fashion,Consulting,Rewards Programmes","MoCo marketing,Shepper B2B Marketing,Drive Footfall and Participation at Events",3,5.0,NaN,
HeyBigMan!,Creativity. Community. Culture. A multidisciplinary creative agency who exist to enhance brands and empower communities.,Building businesses from a companies that people use to a businesses that people love,1-9,"Advertising/Brand/Creative,Tech & Development,Experience & Design","Brand Design,Creative Production,Web Development,Video Production,Graphic Design",Advertising,UK,London,,0,"Agency that blurs the lines between brands, creativity, community, culture, education and activism.","ATL Campaigns,BTL Campaigns","Sport,Travel,Media,Fashion",JLR Electrification Brief add on - visualisation,1,NaN,NaN,
hidden strategy,Research and design studio,,1-9,,,"Research & Insight,Proposition Design,Strategic Design",,,,0,,,,,0,NaN,NaN,
Hippo Digital,"A full-service digital consultancy that provides evidence-based, human-centred digital delivery",,50 or more,Data/ Insight & Research,"Segmentation,Data Analysis & Insights",Web & Mobile Design,UK,"Leeds,Manchester,Coventry,Birmingham,London",,0,,"Software Development,Accessibility,Cyber Security",,,0,NaN,NaN,
Honest Fox,A digital design & marketing agency that helps challenger brands grow.,,10-19,,,"Research & Insight,UX/UI Design,Digital Marketing",,,,0,,,,,0,NaN,NaN,
Houston Group,We’re a strategic brand & design agency defining some of Australia’s most iconic brands.,,50 or more,"Experience & Design,Advertising/Brand/Creative,Customer & Business Strategy,Employer Brand & Experience","Customer Strategy,Growth & Innovation,Experience Strategy,Brand Design,Spatial Design,Graphic Design,Brand Strategy,EVP & Employer Branding,Employee Experience,Purpose,Values & Culture","Brand Strategy,Creative & Production",Australia,"Sydney,Melbourne","Brand Refresh,Brand refresh",2,,,,"Brand Refresh,Brand refresh",2,NaN,NaN,
How To Impact,Strategic Design & Innovation Consultancy,,1-9,"Customer & Business Strategy,Experience & Design","Growth & Innovation Strategy,Product Strategy,New Venture Strategy,Customer Experience Design,Proposition Design,Service Design","Research & Insight,Proposition Design,Strategic Design",Australia,Sydney,"Experiment capability & 2x prop experiments,Lighthouse program",2,Like to go into next level of depth and detail with clients who want to reshape their category,"Systems Thinking,Service Design,Experience Design,Fintech Product Design,Innovation Capability",Healthcare,"Premium meal planning app,Experiment capability & 2x prop experiments,Lighthouse program",3,9.0,NaN,
Hypehack,Disrupt your category like an outsider.,,1-9,Experience & Design,"UX/UI Design,Proposition Design",Innovation & Strategy,"Singapore,Australia",Singapore,,0,,"Proposition Design,Prototypes",,,0,NaN,NaN,
I-AM,"design life-led experiences that delight customers, build brand advocacy and drive business performance.",Brand Experiences That Make Your Heart Beat,100,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Spatial Design,Events,UX/UI Design,Brand Design","Brand.,Spatial Design & Events","UK,Turkey,UAE","London,Istanbul,Dubai",Zero micro-site,1,Honing their craft for over 20 years. Simply one of the best physical design agencies,"Brand Design.,Brand Strategy,Spatial Design,Segmentation","Financial Services,Insurance,Energy,FMCG,Retail,Telco,Technology,Pensions","DW Personas,Zero micro-site,Rebrand & Research",3,NaN,NaN,
IE,We support businesses to build digital products.,"Together we will grow, evolve, and nurture your idea into a digital product that wows customers, scales profitably, and creates competitive advantage.",50 or more,"Customer & Business Strategy,Experience & Design,Tech & Development","Product Strategy,Experience Strategy,Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Mobile App Development,Software Development,Web Development,CMS & DXP,SEO & SEM","Strategic Design,UX/UI Design,Software Development",Australia,"Melbourne,Sydney",,0,"An end-to-end digital agency that brings a broad set of strategy, design and build capability, focused on testing and learning through rapid prototyping",End-to-End,"Automotive,Tourism,Energy,Public Sector,Retail","CMS implementation and website redesign (Discover),Premium meal planning app,Experiment capability & 2x prop experiments",3,7.0,NaN,
In Marketing We Trust,Digital you can trust,,20-49,Media/PR & Events,"Digital Performance Marketing,Media Strategy/Planning,Media Buying,SEO & SEM",SEO & PPC,"Australia,Singapore,UK,USA","Sydney,Melbourne,Singapore,London,Seattle","Paid performance media set-up and campaign mgmt,SEO Site Migration and Performance Campaign",2,,"Organic Search + Content,Paid Search + Content",,"Paid performance media set-up and campaign mgmt,SEO Site Migration and Performance Campaign",2,NaN,NaN,
Inc,"Insight-led creative marketing, to help brands connect and grow.","A multi-disciplinary design agency, driven not by awards or budgets but by a passion to deliver the perfect ideas, on time, in full and with a smile",10-19,"Media/PR & Events,Advertising/Brand/Creative,Insights & Research,Data/ Insight & Research","SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Advertising,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production,Future Trends,Data Analysis & Insights,ROl Optimisation",Campaign Activation,UK,Manchester,Commonwealth Games Case Study Copywriting,1,"Reliable multi-disciplinary design agency specialising in marketing activation - they have a small core team and will bring in experts to do other things. They span digital marketing campaigns, graphic design, animation, and can also be used for events, merch, POS and packaging. They'll make smaller budgets work hard so could be a good match for ""bitty"" projects.","Packaging,POS,Print,merchandise,Exhibit & Experience Design,Brand Activation,Copy writing & Graphic Design,Animation","Healthcare,Manufacturing,Non-Profit,Construction,HealthTech","Tender Template,Commonwealth Games Case Study Copywriting,Sales Playbook",3,NaN,NaN,checked
Inflorescence Media,Our focus is creating results that matter.,,1-9,Advertising/Brand/Creative,"Social Media (Strategy/Content/Management),SEO & SEM,Digital Performance Marketing",SEO & PPC,UK,London,,0,,content strategy,,,0,NaN,NaN,checked
infogr8 Ltd,The visual data storytellers,The visual data storytellers,1-9,"Data/ Insight & Research,Tech & Development","Segmentation,Data Analysis & Insights,Data Storytelling & Visualisation,Software Development,Web Development",Campaign Activation,UK,London,Data Visualisation,1,"They blend data storytelling with creativity, enabling clients to realise the potential and power of their data in visually stunning ways.","Data Storytelling,Interactive Reports","Music,Ed Tech,Health,Sustainability,Gold","Data Visualisation,Website copy",2,9.3,NaN,
Innovate Live,Bespoke Technical Solutions,,10-19,"Tech & Development,Media/PR & Events,Experience & Design","AR/VR,Events,Experiential Marketing,Spatial Design",Spatial Design & Events,UK,London,"Game of Risk,Brand Escape Room Design,Brand Escape Room Production,""Escape Room Hoxton
"",Escape Room Norwich",5,,"Virtual Events,Physical Events,Experiential Marketing",,"Game of Risk,Brand Escape Room Design,Brand Chat Bots,Brand Escape Room media,Virtual My Aviva Events,Game of Risk II design ,Escape Room York,""Escape Room Hoxton
"",Choose Your Adventure,Escape Room Norwich,Biffa Corporate Event Support ,Drive Footfall and Participation at Events",12,NaN,8.0,
InspoHub Ltd,InspoHub helps global brands engage their audience online with bespoke video solutions.,WE CREATE SEAMLESS LIVE EXPERIENCES THAT MAKE YOUR AUDIENCE SAY ‘WOW’.,1-9,Advertising/Brand/Creative,"Video Production,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production",Video Production,UK,Brighton,,0,Video production to drive marketing objectives. This small team combine marketing strategy with creative. They specialise in live video events but do all sorts of video production including animation ,"Film.,Live Production","Automotive,Financial Services,Utilities",Video Animation,1,7.0,NaN,checked
Josephmark,"We are a brand, digital product and venture studio that creates  and defines businesses through cutting-edge strategy, design, and technology.",,50 or more,"Customer & Business Strategy,Experience & Design,Advertising/Brand/Creative,Tech & Development","Customer Strategy,Product Strategy,Growth & Innovation Experience Strategy,Brand Strategy,Brand Design,Graphic Design,UX/UI Design,Web Development,Mobile App Development,Creative Production,Video Production,Social",Brand.,"Australia,USA","Brisbane,Los Angeles",,0,,"Brand Strategy & Design,Copywriting.,Video Production",,"Vehicle health product,Product Vision Video",2,NaN,NaN,checked
JOY,"We are an independent consulting, creative and media group that cracks the codes to growth.",,50 or more,"Advertising/Brand/Creative,Media/PR & Events,Customer & Business Strategy,Experience & Design,Employer Brand & Experience","Brand Strategy,Customer Strategy,Advertising,Social,Creative Production,Digital Campaign Develoment,Copywriting,Video Production,Social & Influencer Marketing,UX/UI Design,Brand Design,Graphic Design,Media Strategy/Planning,Media Buying,SEO & SEM,Digital Performance Marketing,EVP & Employer Branding,Employee Experience,Purpose,Values & Culture,Change Management,Internal Communications","Creative & Production,Social & Content,Brand Strategy",Australia,Sydney,,0,,,,,0,NaN,NaN,
LaunchSquad,"We are an award-winning storytelling, PR, and content marketing agency located nationwide",,50 or more,,,"Social & Content,Digital Marketing,Public Relations",,,,0,,,,US Agency Partner,1,NaN,NaN,
LIVING PROOF - the youth consultancy,Youth Consultancy,We deliver winning products and experiences built FOR young people BY young people.,3,"Customer & Business Strategy,Experience & Design","Proposition Design,Experience Strategy,Customer Experience Design",Specialism,UK,London,,0,A GenZ research & proposition consultancy,"GEN Z Insight & Enegagement,Proposition","Financial Services,Non-Profit,Retail",,0,NaN,NaN,checked
Loomery,"Trusted product teams, when you need them.",,10-19,"Tech & Development,Experience & Design","Mobile App Development,Software Development,Web Development,UX/UI Design",Web & Mobile Design,UK,London,JLR FS CX Vision,1,,"UX & UI,UX Research,Software Development,Prototypes",,"Financial Wellbeing,JLR FS CX Vision,Connected Car prop dev sprint,Jaguar Web Configurator Research Brief",4,NaN,NaN,
LUX,A creative agency for food & drink brands,Brining food and drinks to life,10-19,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Brand Design,Copywriting,Creative Production,Social Media (Strategy/Content/Management),Shopper Marketing / PoS marketing,Experiential Marketing",Specialism,UK,"Edinburgh,London",,0,A pioneering creative agency for food and drink,Food NPD,"Food,Drinks",,0,NaN,NaN,checked
Maciver Inc.,Navigating the ambiguous tech space between now and the future,"Designing the future requires you to know what the future looks like. And this knowledge is a landscape to move through, a territory in flux, never a static thing.",1-9,"Data/ Insight & Research,Tech & Development","Product Strategy,Future Trends,Growth & Innovation Strategy",Training & Development,UK,London,,0," Real rigour of expert research planning and execution, a highly strategic perspective to how these translate into design… the flexibility to collaborate to brilliant effect with creatives and business leaders","Digital Training & Development,Web3","FS,Start-ups,Fintech,Tech,Automotive,Consulting",,0,NaN,NaN,checked
Magic ,"Mathematics, Data and Marketing Challenges",,20-49,Data/ Insight & Research,"Data Analytics,ROI Optimising,Data Visualisation","Digital Marketing,Media Buying,Data Visualisation",Australia,Melbourne,,0,,,,,0,NaN,NaN,
Manifest Group,International unified brand communications agency,,50 or more,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Events,Experiential Marketing,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production","Brand Strategy,Creative & Production,Public Relations","UK,USA,Australia,Sweden","London,Manchester,New York,Los Angeles,Melbourne,Stockholm",,0,,,,"""Retail Brand Positioning
"",US Agency Partner,Rebrand & Research,Employer Value Proposition Creative Partner",4,7.0,NaN,checked
Matic Digital,A Digital Transformation + Brand + Teams agency.,,10-19,"Experience & Design,Data/ Insight & Research,Tech & Development","Customer Experience Design,UX/UI Design,Data Analysis & Insights,Software Development,Web Development,eCommerce & Marketplacing","Research & Insight,UX/UI Design,Software Development",USA,Denver,Vehicle health product,1,,,,"Store 8 - Data analytics,Vehicle health product",2,NaN,NaN,
MB&a,"Senior collective delivering purposeful human-centred strategy, new propositions & insight",,1-9,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Proposition Design",Innovation & Strategy,UK,London,,0,,Proposition Design,,"""Retail Brand Positioning
""",1,NaN,NaN,checked
Media Bounty,Independent ethical creative and media agency,,20-49,"Media/PR & Events,Advertising/Brand/Creative,Data/ Insight & Research,Customer & Business Strategy","SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Advertising,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production,Future Trends,Data Analysis & Insights,ROl Optimisation,Sustainability Strategy","Brand.,Media Buying",UK,London,,0,,"Brand Strategy,Brand Design.,Media Buying",,,0,NaN,NaN,checked
Midnight,We partner with creative teams to build things for the web,,10-19,,,Web & Mobile Design,,,,0,,Software Development,,,0,NaN,NaN,
Mighty Nice,"Nice ideas, Made Mighty.",,10-19,"Advertising/Brand/Creative,Production Services","Creative Production,Video Production,Animation,Motion Graphics",Video Production,"UK,Australia","London,Sydney",,0,,Animation,,,0,NaN,NaN,
MindArc,eCommerce. Digital Marketing. Telecommunications.,Our vision is to apply our collective experience and help enable and transform commerce through smart technology,54,"Experience & Design,Tech & Development,Advertising/Brand/Creative,Media/PR & Events","UX/UI Design,Software Development,Web Development,eCommerce & Marketplacing,Social Media (Strategy/Content/Management),SEO & SEM,Digital Performance Marketing","UX/UI Design,Social & Content,Software Development,Digital Marketing","Australia,Philippines,Vietnam","Sydney,Brisbane,Manila,Hue",,0,"Leading Shopify and Ecommerce specialists with in-house UX, content and digital marketing teams","Shopify,SEO,SEM,CRO,Social & Content,Telecoms","Fashion,B2B,Alcohol & Beverage,Professional Services,""Lifestyle, Furniture & Homewares""",,0,NaN,NaN,
MKG Marketing,Partner to marketing teams at rapidly scaling cybersecurity & data management businesses,Meaningful Relationships. Measurable Results,10-19,"Media/PR & Events,Advertising/Brand/Creative","SEO & SEM,Digital Performance Marketing,Brand Strategy,Social Media (Strategy/Content/Management),Digital Campaign Development",SEO & PPC,"USA,Channel Islands","Miami,New Orleans,Boston,Portland,Philadelphia,Austin,Burlington,Vancouver,Guernsey",,0,Values driven performance strategy agency,"Organic Search + Content,Paid Search + Content","Cyber Security,Financial Services,Fintech,Retail,Tech",,0,NaN,NaN,checked
Muteo,"design studio creating digital experiences for fintech, open banking and open data. ","We help you become more trustworthy, by providing end-to-end services - creating outcomes that move you and your customers",4,Experience & Design,"Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Brand Design","UX/UI Design,Strategic Design",Australia,Sydney,,0,"Small team focused trust based design, particularly open data / open banking experiences","Open Banking,Open Data,Experience Design,CDR","Fintech,Financial Services,Real Estate",,0,NaN,NaN,
MyMavins,Research consulting,"We sit at the crossroads of expertise, knowledge and technical skills. With our unique combination of domain expertise, deep market knowledge and strategic awareness of broader trends - we work beside you to bring out your best.",2,Data/ Insight & Research,"Segmentation,Qual,Quant",Research & Insight,Australia,Sydney,Cover Sense ph3 (research),1,"Small, experienced market research team with deep experience in FS as well as other sectors","Qual & Quant,Big Data Analytics","Financial Services,Insurance,Public Sector,Health,Public Relations",Cover Sense ph3 (research),1,NaN,4.0,
Neu,Digital Product Studio,We help you create competitive advantage faster,6,"Customer & Business Strategy,Tech & Development","eCommerce & Marketplacing,Software Development,Web Development,Growth & Innovation Strategy,Product Strategy",Innovation & Strategy,UK,"Glasgow,London",MoneyCoach Ph1,1,Design commercially viable prototype that could thrive in your market.,"New Experience Design,Prototypes","Health,Insurance,EV,Public Sector,Entertainment,FMCG,Drinks,Financial Services",MoneyCoach Ph1,1,NaN,NaN,
Nibble Digital,"A onshore/offshore digital creative agency specialising in websites, UX/UI and production design",,10-19,"Tech & Development,Experience & Design,Media/PR & Events","Mobile App Development,Software Development,Web Development,UX/UI Design,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing","Creative & Production,UX/UI Design,Software Development",Australia,Sydney,,0,,,,,0,NaN,NaN,checked
Nimbletank,Creative certainty for the world's leading brands,Creative Certainty for the World's Leading Brands,10-19,"Experience & Design,Customer & Business Strategy","Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Customer Strategy,Business Strategy",Innovation & Strategy,UK,London,"Panthera App Experience Design Vision,JLR Panthera OneApp Design Project Extension - Luxury CRM Service Design",2,"Paul and his team are very experienced leaders. You’ll get the founders working on your project not juniors. This brief is their complete sweet spot. They specialise in helping FS companies reimagine their core journeys. As well support corporate leaders sell in the vision internally to secure support and funding. Their previous cases include Lloyds Wealth , Santander and NWG… and a host of FinTechs","New Experience Design,UX & UI,Prototypes,UX Research,Proposition Design","Healthcare,Tech,Retail,Financial Services,Gold,Music,Energy","DW - Pension Consolidation journey design,MyAviva Engagement,Panthera App Experience Design Vision,Panthera OneApp Ongoing UX/UI Support,JLR Panthera OneApp Design Project Extension - Luxury CRM Service Design",5,8.0,NaN,
NMD+,Creative & Technology Consultancy,Helping companies build better and more productive customer relationships,3,"Experience & Design,Data/ Insight & Research","Data Analysis & Insights,Customer Experience Design,Proposition Design,Service Design",Innovation & Strategy,UK,London,"SME engagement ,DW - Pension Consolidation journey design,Social and web plan,DW E2E Prototype ,Concept Design,Social Media Support - Initial Trial",6,"Dave is the God Father of UX/UI. His previous agency Health Wallace he sold to WPP. They invented the UX,UI category in the UK, launching the UKs first two internet banks with RBS and HSBC. He’s got over 25 years’ experience helping FS companies digitise. Dan you’re going to completely nerd out when you meet him. And they’ve just finished a very cool project with St James Place around conversational banking","New Experience Design,Prototypes","Financial Services,Insurance,Fintech,Technology,Pensions,Utilities","SME engagement ,Life QtB journey optimisation,DW - Pension Consolidation journey design,Social and web plan,DW Personas,Data Visualisation,DW E2E Prototype ,""Sustainable Home prototype
"",Digital Transformation,Concept Design,Social Media Support - Initial Trial",11,8.3,NaN,checked
Noble Agency,Brand and marketing for People & Culture Teams.,,1-9,Employer Marketing & Experience,"EVP & Employer Branding,Recruitment Campaigns,Employee Experience,Purpose,Values & Culture,Internal Communications","Research & Insight,Brand Strategy,Creative & Production",Australia,Sydney,,0,,,,Recruitment Campaign Marketing Support,1,NaN,NaN,
Nonsensical,We do TikTok so you don't have to!,,10-19,"Media/PR & Events,Advertising/Brand/Creative","Digital Performance Marketing,Social & Influencer Marketing,Digital Campaign Development",Social Media,"UK,Germany","Birmingham,Berlin",Social Media - Pride Birmingham event coverage,1,,"Social Strategy,Organic Search + Content,Paid Search + Content,TikTok",,"Social Media - Pride Birmingham event coverage,Social Media Veezu",2,NaN,NaN,
North Street Creative,"North Street builds strategies, brands, and user experiences that drive transformational change.",,10-19,,,"Brand Strategy,Creative & Production,Strategic Design",,,,0,,,,Exec Workshop,1,NaN,NaN,
NorthSouth Advertising,Specialists in Search & Social advertising,,1-9,Media/PR & Events,"Digital Performance Marketing,Media Strategy/Planning,Media Buying,SEO & SEM","Digital Marketing,Media Buying",Australia,Sydney,,0,,,,,0,NaN,NaN,
Notepad Studio,Strategic branding agency,Crystal-clear strategy and jaw-dropping creativity that makes your brand unbeatable,,"Advertising/Brand/Creative,Tech & Development,Employer Brand & Experience","Brand Strategy,Creative Production,UX/UI Design,CRM Implementation,Copywriting","Advertising,B Corp",UK,Birmingham,,0,Small boutique agency that packs a big creative punch,BTL Campaigns,"Fashion,Food,Real Estate","Group Life Content,Sales Playbook,Recruitment Campaign Marketing Support",3,9.0,NaN,
Nowadays,On a mission to make films that matter,,10-19,Advertising/Brand/Creative,Video Production,"Advertising,Video Production",UK,London,,0,,"Creative & Production,Social & Content,Brand Strategy",,,0,NaN,NaN,
Nusa Film ,We stop thumbs.,,1-9,Advertising/Brand/Creative,"Video Production,Social Media (Strategy/Content/Management)",Video Production,UK,London,,0,,Social & Content,,,0,NaN,NaN,
Nzime,A Digital agency that puts digital last.,,10-19,"Advertising/Brand/Creative,Tech & Development","Software Development,Web Development,UX/UI Design,Brand Design,Creative Production",Web & Mobile Design,UK,Nottingham,,0,,UX & UI,,,0,NaN,NaN,
Objective Experience,"UX Strategy, UX Research & UX Design","We delight our clients by going the extra mile and helping them to get products, that are awesome to use, live on time.",22,"Data/ Insight & Research,Experience & Design","Qual,Quant,Data Analysis & Insights,UX/UI Design","Research & Insight,UX/UI Design","Australia,Singapore","Sydney,Singapore",,0,Research agency focused on UX and eye tracking techniques with a presence in Australia and SEA,"Eye tracking,UX Research,Customer Testing","Fintech,Online Retail,Physical Retail,Government",Cover Sense ph3 (research),1,NaN,NaN,
off brand.,"digital marketing, branding & web design agency",Building beautiful digital experiences,8,"Experience & Design,Tech & Development,Advertising/Brand/Creative,Media/PR & Events","Brand Design,Graphic Design,eCommerce & Marketplacing,Brand Strategy,Creative Production,SEO & SEM,Digital Performance Marketing,UX/UI Design",Specialism,UK,Glasgow,VOX Souls Website,1,"Have wealth of experience across multiple sectors, but primary client base is within the decentralised finance sectors, primarily cryptocurrencies, DAOs and NFTs.","NFT,Crypto Currencies,Metaverse",,"VOX Souls Website,VOX social media account,MoneyCoach Ph1,VOX creative concepts ",4,NaN,NaN,
OHMY,"A digital-first design studio that builds brands, websites and apps for ambitious businesses.",,1-9,"Tech & Development,Advertising/Brand/Creative,Design & Experience","Mobile App Development,Software Development,Web Development,Customer Experience Design,UX/UI Design,Product Strategy,Brand Design,Social Media (Strategy/Content/Management)",Web & Mobile Design,UK,"Leamington Spa,Warwickshire",,0,,"UX & UI,Mobile & Web Build",,"JLR FS CX Vision,Corporate Website Design + Build",2,NaN,NaN,
Ollie & Co,We create design and branding for ambitious clients,,1-9,Experience & Design,"Brand Strategy,Brand Design,Spatial Design,UX/UI Design,Graphic Design",Brand.,"UK,Australia","London,Sydney",,0,,"Brand Strategy,Brand Design.",,,0,NaN,NaN,
Orange Panther Collective,Integrated Communications Agency,"We help scale-ups  go from zero to hero through big brand thinking but with a small agency can do, agile and cost effective attitude.",5,"Advertising/Brand/Creative,Media/PR & Events","Advertising,Brand Strategy,Creative Production,Media Strategy/Planning",Advertising,UK,London,"Media buying,Group Life Content",2,A networked holistic creative communications agency,"ATL Campaigns,BTL Campaigns","Media,Entertainment,Hospitality,Technology,Health,Start-ups","Media buying,Equity Release campaign,Group Life Content",3,9.0,5.0,checked
Ordinary Media,We build high-performance digital ecosystems,,1-9,"Advertising/Brand/Creative,Media/PR & Events","Digital Performance Marketing,Brand Strategy,Social Media (Strategy/Content/Management),Digital Campaign Development,Copywriting",Media Buying,UK,London,,0,,"Media Buying,Media Planning,B2B",,Soho Blitz Day Media Support,1,NaN,NaN,
Oxara London,Deliver the most creative and best performing digital experiences.,,10-19,"Tech & Development,Experience & Design","Graphic Design,Software Development,Web Development,CRM Implementation,UX/UI Design",Web & Mobile Design,"UK,UAE","London,Dubai",,0,,"UX & UI,UX Research,Software Development",,Digital Claims ,1,NaN,NaN,
PALO IT,Global tech innovation and Agile software development company,Help organisations embrace tech as a force for good,535,"Tech & Development,Experience & Design,Data/ Insight & Research","Experience Strategy,Customer Experience Design,Service Design,UX/UI Design,Mobile App Development,Software Development,Web Development,CMS & DXP","UX/UI Design,Software Development,B Corp","Australia,Colombia,France,Hong Kong,Mexico,Singapore,Thailand,Spain,USA","Sydney,Bogotá,Medellín,Paris,Toulouse,Nantes,Lyon,Quarry Bay,Mexico City,Bangkok,Barcelona,Madrid,New York City","CMS implementation and website redesign (Discover),MA Financial Website Build,""MA Financial Website Build - extension sprint 1
""",3,"Digital products, platforms and transformation from design to build with a presence across APAC, Europe and South America.","End-to-End,FS","Banking & Finance,Insurance,NGO,Retail,Automotive,Telecoms,Tourism,Government,Healthcare","CMS implementation and website redesign (Discover),MA Financial Website Build,""MA Financial Website Build - extension sprint 1
"",Product Engineering ",4,10.0,10.0,
Path Ventures,Move fast and make things,,1-9,"Customer & Business Strategy,Data/ Insight & Research,Experience & Design","Growth & Innovation Strategy,Product Strategy,Experience Strategy,New Venture Strategy,Customer Experience Design,Future Trends,Proposition Design,Service Design","Research & Insight,Proposition Design,Strategic Design",Australia,Sydney,"Bid support,Cover Sense ph2 (JN),Digital Roadmap,Cover Sense ph3 (product),Claims Intake Experience,DSM MVP Planning,""Pulse ph 1
""",7,,,,"Cover Sense ph2 (JN),Bid support,Digital Roadmap,Cover Sense ph3 (product),Claims Intake Experience,DSM MVP Planning,""Pulse ph 1
""",7,NaN,10.0,
Pavilion Works,Full Service Content Agency,Pavilion Works is a content studio with a distinct voice.,7,Advertising/Brand/Creative,"Creative Production,Social Media (Strategy/Content/Management),Video Production",Video Production,UK,London,,0,"Young, creative and very edgy","Film.,Animation","Fashion,Music,Technology,Automotive",Equity Release campaign,1,NaN,NaN,
Phase One Insights,Integrated research and design,"Phase One Insights combines rigorous, mixed-methods market research with human-centred design. We deliver actionable insights and design solutions embedded in real human stories.Since 2020, our team has competed with the best in the business, delivering outsized value to national and international clients including airlines, banks, fintechs, and retailers. Why do you need integrated research and design?Often, companies do their research work with one agency and their value proposition design with another. When one hand doesn't talk to the other, the opportunity falls to the floor (where it usually lands in a big pile of wasted time, money and effort).At Phase One we integrate mixed-methods market research, value proposition design, prototyping and user testing to create a throughline from early insights to ready-to-build solutions. Our unique process gives you the courage, confidence and certainty you need for new product success.We create videos, journey maps and other communication assets to help you activate insights, align your teams and get stakeholder buy-in along the way. We are laser-focused on using human-centred research and design to help our clients create winning value propositions. You'll walk away from an engagement with ready-to-build solutions that make a real difference in your customers’ lives. ",1-9,"Data/ Insight & Research,Experience & Design","Segmentation,Qual,Quant,Proposition Design",Research & Insight,Australia,Mullumbimby,,0,"Integrated research and design agency. They put emphasis on integrating mixed-methods market research, value proposition design, prototyping and user testing to create a throughline from early insights to ready-to-build solutions.",Human-centred research,"Financial Services,Fintech,Airlines,Tech",Pulse Project - Phase 2 Research,1,NaN,NaN,checked
Polar Media House,Polar Media House is here to help you stand out from the crowd through engaging content to maximise your online presence.,Polar Media House is here to help you stand out from the crowd through engaging content and maximising your online presence.,1-9,Advertising/Brand/Creative,"Creative Production,Video Production,Graphic Design",Video Production,UK,Henley-On-Thames,,0,"A modern day, results driven content creation agency","Film.,Photography","Construction,Transport,Advertising,FMCG,Drinks,Logistics",Social and web plan,1,NaN,NaN,
Prime Holding JSC,Be bold. We got you covered. We love tech. We know business.,,50 or more,"Data/ Insight & Research,Experience & Design","Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Data Analysis & Insights,Customer Data Platforms,MarTech Consulting","Software Development,CRM & Loyalty,Data Visualisation","Bulgaria,Serbia","Sofia,Plovdiv,Veliko Tarnovo,Nis",,0,,,,,0,NaN,NaN,
